project,issue type,issue_status,issue_num,user_name,datetime,comment type,related_issue,issue_url,,,
photonix,Layout,Open,#387,damianmoore,26-Mar-22,Commented,,https://github.com/photonixapp/photonix/issues/387,,,
photonix,Layout,Open,#372,KptnKMan,20-Jan-22,Commented,,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Layout,Open,#372,neostim,22-Jan-22,Commented,,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Layout,Open,#372,KptnKMan,3-Feb-22,Commented,,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Layout,Open,#372,neostim,3-Feb-22,Commented,,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Layout,Open,#372,KptnKMan,3-Feb-22,Commented,,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Layout,Open,#372,neostim,3-Feb-22,Commented,,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Layout,Open,#372,KptnKMan,3-Feb-22,Commented,,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Layout,Open,#372,neostim,3-Feb-22,Commented,,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Layout,Open,#372,KptnKMan,3-Feb-22,Commented,,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Layout,Open,#372,KptnKMan,20-Jan-22,Modified,#232,https://github.com/photonixapp/photonix/issues/372,,,
photonix,Functional,Open,#367,hajo62,27-Dec-21,Commented,,https://github.com/photonixapp/photonix/issues/367,,,
photonix,Display,Open,#360,legraml,23-Nov-21,Commented,,https://github.com/photonixapp/photonix/issues/360,,,
photonix,Display,Open,#360,jef1013,29-Nov-21,Commented,,https://github.com/photonixapp/photonix/issues/360,,,
photonix,Display,Open,#360,legraml,30-Nov-21,Commented,,https://github.com/photonixapp/photonix/issues/360,,,
photonix,Display,Open,#360,damianbenente,8-Mar-22,Commented,,https://github.com/photonixapp/photonix/issues/360,,,
photonix,Switch Control,Open,#346,nlester77,18-Sep-21,Commented,,https://github.com/photonixapp/photonix/issues/346,,,
photonix,Switch Control,Open,#346,ovizii,23-Sep-21,Commented,,https://github.com/photonixapp/photonix/issues/346,,,
photonix,Switch Control,Open,#346,damianmoore,6-Oct-21,Commented,,https://github.com/photonixapp/photonix/issues/346,,,
photonix,Switch Control,Open,#346,damianmoore,6-Oct-21,Modified,,https://github.com/photonixapp/photonix/issues/346,,,
photonix,Display,Open,#336,damianmoore,1-Sep-21,Commented,,https://github.com/photonixapp/photonix/issues/336,,,
photonix,Display,Open,#336,damianmoore,1-Sep-21,Modified,,https://github.com/photonixapp/photonix/issues/336,,,
photonix,Display,Open,#336,damianmoore,1-Sep-21,Modified,,https://github.com/photonixapp/photonix/issues/336,,,
photonix,Display,Open,#336,damianmoore,1-Sep-21,Modified,,https://github.com/photonixapp/photonix/issues/336,,,
photonix,Display,Open,#336,damianmoore,1-Sep-21,Modified,,https://github.com/photonixapp/photonix/issues/336,,,
photonix,Functional,Open,#319,gerroon,10-Aug-21,Commented,,https://github.com/photonixapp/photonix/issues/319,,,
photonix,Functional,Open,#319,damianmoore,17-Aug-21,Commented,,https://github.com/photonixapp/photonix/issues/319,,,
photonix,Functional,Open,#319,damianmoore,17-Aug-21,Modified,,https://github.com/photonixapp/photonix/issues/319,,,
photonix,Display,Open,#296,Linecutterx,15-Jul-21,Commented,,https://github.com/photonixapp/photonix/issues/296,,,
photonix,Display,Open,#296,damianmoore,27-Jul-21,Commented,,https://github.com/photonixapp/photonix/issues/296,,,
photonix,Display,Open,#230,damianmoore,18-Apr-21,Commented,,https://github.com/photonixapp/photonix/issues/230,,,
photonix,Display,Open,#230,GyanP,28-Jun-21,Commented,,https://github.com/photonixapp/photonix/issues/230,,,
photonix,Display,Open,#230,damianmoore,18-Apr-21,Modified,,https://github.com/photonixapp/photonix/issues/230,,,
photonix,Display,Open,#230,damianmoore,18-Apr-21,Modified,,https://github.com/photonixapp/photonix/issues/230,,,
